Contact Person,DOB,Phone No.,Enterprise Name,Legal Structure,Business PAN,GSTIN,Udyam Reg. No.,District,State
Meera Bose,04-11-1997,+91 81139 08904,Nova Plastics LLP,LLP,MZMFN8249W,08MZMFN8249W9ZS,UDYAM-RJ-22-3374637,Kota,Rajasthan
Rajesh Das,20-04-1994,+91 84330 46292,Matrix Logistics Pvt Ltd,Pvt Ltd,YLECM6594M,36YLECM6594M8ZV,UDYAM-TS-04-8430736,Warangal,Telangana
Aarav Das,17-10-1975,+91 98423 61106,Apex Textiles Pvt Ltd,Pvt Ltd,MXSCA9627M,29MXSCA9627M4ZX,UDYAM-KR-34-9378188,Mysuru,Karnataka
Vikram Kulkarni,02-09-1993,+91 80001 68471,Surya Techno Fab Pvt Ltd,Pvt Ltd,QIHCS9152K,23QIHCS9152K3ZD,UDYAM-MP-18-9034244,Indore,Madhya Pradesh
Vikram Kulkarni,18-08-1981,+91 67194 02946,Pioneer Polymers LLP,LLP,FUHFP5961I,29FUHFP5961I3ZF,UDYAM-KR-02-2312630,Bengaluru,Karnataka
Sneha Joshi,17-04-2000,+91 66544 28488,Apex Bio Remedies Pvt Ltd,Pvt Ltd,EMKCA8065Y,36EMKCA8065Y2ZE,UDYAM-TS-05-7674927,Nizamabad,Telangana
Pooja Chauhan,24-09-1994,+91 96909 72587,Precision Infotech Pvt Ltd,Pvt Ltd,QBOCP8196Z,09QBOCP8196Z1Z5,UDYAM-UP-02-6415541,Lucknow,Uttar Pradesh
Rahul Chatterjee,25-06-1986,+91 64503 33481,ZenPack Bio Remedies LLP,LLP,SSTFZ4320V,09SSTFZ4320V5Z4,UDYAM-UP-02-6105356,Kanpur,Uttar Pradesh
Aarav Singh,27-08-1993,+91 78759 10096,Surya Gear Works LLP,LLP,UJTFS1295Z,29UJTFS1295Z5Z4,UDYAM-KR-05-7792072,Bengaluru,Karnataka
Rajesh Iyer,20-12-1985,+91 61653 96673,Evergreen Infotech Enterprises,Enterprises,HOXPI2567M,19HOXPI2567M8Z7,UDYAM-WB-09-2286102,Durgapur,West Bengal
Rahul Singh,01-02-1996,+91 98539 12777,Shri Ganesh Infotech LLP,LLP,JCVFS6434J,24JCVFS6434J3Z6,UDYAM-GJ-26-4982132,Ahmedabad,Gujarat
Neha Patel,16-09-1969,+91 90523 96623,Nova Plastics LLP,LLP,PFSFN8423C,29PFSFN8423C1Z5,UDYAM-KR-22-5152064,Hubballi,Karnataka
Ananya Kulkarni,26-07-1994,+91 81809 04436,EcoClean Infotech Pvt Ltd,Pvt Ltd,GNFCE5988T,27GNFCE5988T5ZK,UDYAM-MH-20-7872642,Mumbai,Maharashtra
Rohan Iyer,15-10-1978,+91 92513 58949,Apex Polymers Pvt Ltd,Pvt Ltd,RISCA5703H,24RISCA5703H8ZP,UDYAM-GJ-34-8429090,Ahmedabad,Gujarat
Gaurav Patel,20-03-1987,+91 69366 41583,Shri Ganesh Plastics Enterprises,Enterprises,GJJPP1209F,32GJJPP1209F5ZQ,UDYAM-KL-07-8558136,Kozhikode,Kerala
Vikram Singh,03-05-1999,+91 84544 67712,EcoClean Metal Castings Enterprises,Enterprises,ZXIPS9254N,23ZXIPS9254N6Z3,UDYAM-MP-15-8927127,Bhopal,Madhya Pradesh
Priya Das,15-04-1982,+91 78212 02258,Matrix Techno Fab Pvt Ltd,Pvt Ltd,AZUCM4120P,32AZUCM4120P2ZM,UDYAM-KL-13-8561245,Ernakulam,Kerala
Rohan Gupta,11-11-1969,+91 71027 37929,Vanguard Agro Mills Pvt Ltd,Pvt Ltd,ZPRCV6624E,36ZPRCV6624E5ZH,UDYAM-TS-32-2138278,Nizamabad,Telangana
Rohan Reddy,10-02-1986,+91 67976 58054,Trident Solar Solutions Pvt Ltd,Pvt Ltd,AFRCT9703Z,27AFRCT9703Z4ZG,UDYAM-MH-03-4871224,Nashik,Maharashtra
Aarav Gupta,07-08-2002,+91 91372 49824,EcoClean Plastics LLP,LLP,ZYLFE5416O,32ZYLFE5416O5ZK,UDYAM-KL-33-9078536,Kozhikode,Kerala
Gaurav Joshi,27-08-1970,+91 76020 86657,Trident Bio Remedies LLP,LLP,CKGFT2422E,29CKGFT2422E2Z5,UDYAM-KR-01-8636347,Bengaluru,Karnataka
Rohan Iyer,27-07-2000,+91 73833 67496,Pioneer Solar Solutions Pvt Ltd,Pvt Ltd,EJSCP4588J,36EJSCP4588J9ZT,UDYAM-TS-05-2886542,Hyderabad,Telangana
Pooja Bose,03-04-1970,+91 79002 51176,Pioneer Techno Fab Pvt Ltd,Pvt Ltd,BTHCP9911X,32BTHCP9911X8Z8,UDYAM-KL-09-2085136,Ernakulam,Kerala
Aarav Das,17-10-1972,+91 79412 68340,ZenPack Bio Remedies LLP,LLP,OBJFZ8177X,09OBJFZ8177X9Z8,UDYAM-UP-04-2682999,Noida,Uttar Pradesh
Meera Verma,27-05-1994,+91 91176 93178,Vertex Logistics Enterprises,Enterprises,TIEPV3006W,27TIEPV3006W9ZD,UDYAM-MH-06-8099645,Pune,Maharashtra
Pooja Reddy,20-11-1987,+91 99564 67580,ZenPack Plastics LLP,LLP,PGLFZ1486H,08PGLFZ1486H1Z9,UDYAM-RJ-01-3470740,Kota,Rajasthan
Arjun Patel,07-07-1998,+91 94219 55780,ZenPack Bio Remedies Enterprises,Enterprises,GTQPP4184Z,33GTQPP4184Z9ZZ,UDYAM-TN-11-3590208,Chennai,Tamil Nadu
Priya Bose,24-02-1983,+91 79976 51820,BlueCraft Bio Remedies Pvt Ltd,Pvt Ltd,CBDCB6478A,36CBDCB6478A4ZB,UDYAM-TS-11-3456009,Hyderabad,Telangana
Neha Gupta,14-11-1997,+91 68436 01841,Nova Techno Fab LLP,LLP,YYOFN5476R,36YYOFN5476R3ZD,UDYAM-TS-35-5172622,Warangal,Telangana
Rohan Nair,19-01-1975,+91 82513 48380,Matrix Solar Solutions Pvt Ltd,Pvt Ltd,NXPCM8636H,32NXPCM8636H5Z9,UDYAM-KL-20-4010599,Thiruvananthapuram,Kerala
Sneha Das,10-07-1980,+91 91598 12639,Pioneer Polymers Enterprises,Enterprises,IIRPD1913S,09IIRPD1913S5ZE,UDYAM-UP-25-1505607,Varanasi,Uttar Pradesh
Neha Patel,09-12-1994,+91 99604 23705,Matrix Metal Castings Pvt Ltd,Pvt Ltd,QUUCM1910Q,33QUUCM1910Q4ZI,UDYAM-TN-02-7083975,Madurai,Tamil Nadu
Sneha Das,21-01-1979,+91 97117 28683,ZenPack Plastics LLP,LLP,NYGFZ3632I,09NYGFZ3632I5ZM,UDYAM-UP-22-4837842,Noida,Uttar Pradesh
Arjun Sharma,20-12-1967,+91 79968 20914,EcoClean Plastics Pvt Ltd,Pvt Ltd,GEVCE5326K,09GEVCE5326K6ZS,UDYAM-UP-10-4516021,Noida,Uttar Pradesh
Priya Verma,18-03-1993,+91 61209 47199,Nova Textiles Enterprises,Enterprises,OYBPV4995X,29OYBPV4995X3ZT,UDYAM-KR-14-3763580,Hubballi,Karnataka
Rajesh Bose,14-02-2000,+91 78526 54126,Apex Gear Works Enterprises,Enterprises,UOXPB1875Y,33UOXPB1875Y3ZL,UDYAM-TN-05-4070685,Salem,Tamil Nadu
Aarav Patel,20-05-1979,+91 93892 36667,Surya Bio Remedies Pvt Ltd,Pvt Ltd,GBSCS3634O,23GBSCS3634O8ZG,UDYAM-MP-10-6318721,Gwalior,Madhya Pradesh
Tanvi Iyer,14-10-1985,+91 85465 28288,Vertex Metal Castings Pvt Ltd,Pvt Ltd,DCPCV7829B,09DCPCV7829B4ZX,UDYAM-UP-03-8819782,Varanasi,Uttar Pradesh
Rahul Kulkarni,11-10-1966,+91 72005 58199,Surya Bio Remedies Enterprises,Enterprises,BFYPK2176T,36BFYPK2176T1Z8,UDYAM-TS-14-3233038,Warangal,Telangana
Rajesh Chauhan,13-04-1967,+91 91450 71404,Precision Bio Remedies LLP,LLP,JUYFP7712I,27JUYFP7712I5ZZ,UDYAM-MH-22-6286316,Pune,Maharashtra
Neha Patel,25-06-1980,+91 78074 57853,Apex Gear Works LLP,LLP,BHXFA2028H,29BHXFA2028H7ZX,UDYAM-KR-11-8693484,Mysuru,Karnataka
Ananya Patel,09-02-1988,+91 61057 84488,Evergreen Plastics LLP,LLP,GWKFE4047K,19GWKFE4047K7Z9,UDYAM-WB-23-1508670,Siliguri,West Bengal
Priya Nair,16-04-1968,+91 85325 92634,Trident Techno Fab LLP,LLP,JGRFT9974H,09JGRFT9974H2ZM,UDYAM-UP-30-4659819,Lucknow,Uttar Pradesh
Vikram Bose,26-08-1968,+91 68710 30468,Apex Plastics Enterprises,Enterprises,HEFPB5275I,32HEFPB5275I4ZG,UDYAM-KL-16-2069807,Ernakulam,Kerala
Tanvi Nair,11-01-1971,+91 62067 10729,Evergreen Plastics LLP,LLP,AYDFE1649S,27AYDFE1649S9ZX,UDYAM-MH-11-6327812,Pune,Maharashtra
Vikram Bose,30-07-1996,+91 86695 88215,Vertex Infotech LLP,LLP,IOGFV4225X,23IOGFV4225X2Z9,UDYAM-MP-35-5220082,Jabalpur,Madhya Pradesh
Meera Nair,12-11-1967,+91 83499 61400,Vanguard Textiles LLP,LLP,QARFV5882U,19QARFV5882U3ZT,UDYAM-WB-30-9088830,Kolkata,West Bengal
Priya Mehta,30-11-1976,+91 73398 82703,Precision Logistics Pvt Ltd,Pvt Ltd,ECLCP3498X,36ECLCP3498X4ZC,UDYAM-TS-16-9258724,Hyderabad,Telangana
Rohan Sharma,24-04-1977,+91 91191 68962,Evergreen Metal Castings LLP,LLP,VIWFE8625F,27VIWFE8625F2Z0,UDYAM-MH-18-7508053,Pune,Maharashtra
Nikhil Singh,19-11-1969,+91 75811 88425,ZenPack Agro Mills LLP,LLP,SUCFZ5122F,23SUCFZ5122F6Z7,UDYAM-MP-22-2188866,Indore,Madhya Pradesh
Siddharth Reddy,10-04-1976,+91 62006 38993,Nova Logistics Pvt Ltd,Pvt Ltd,FXJCN7866I,36FXJCN7866I4ZL,UDYAM-TS-14-9766297,Nizamabad,Telangana
Aarav Bose,05-05-1992,+91 98239 25818,Nova Agro Mills Pvt Ltd,Pvt Ltd,DZUCN6131W,32DZUCN6131W4Z4,UDYAM-KL-02-7619981,Thiruvananthapuram,Kerala
Neha Chatterjee,15-10-1969,+91 91243 54982,EcoClean Metal Castings Enterprises,Enterprises,LLEPC6315O,24LLEPC6315O5ZF,UDYAM-GJ-14-9744770,Rajkot,Gujarat
Sneha Bose,20-04-1965,+91 91992 92007,Vanguard Agro Mills Enterprises,Enterprises,PKSPB7307U,24PKSPB7307U4ZL,UDYAM-GJ-28-4591849,Surat,Gujarat
Nikhil Chatterjee,16-06-1998,+91 79097 69298,Shri Ganesh Gear Works LLP,LLP,SEDFS5828Y,24SEDFS5828Y3ZM,UDYAM-GJ-07-7489796,Rajkot,Gujarat
Siddharth Mehta,13-12-1983,+91 69343 96879,Pioneer Infotech LLP,LLP,IFGFP7524H,33IFGFP7524H1ZI,UDYAM-TN-07-6932327,Salem,Tamil Nadu
Pooja Das,12-01-1976,+91 88650 71716,Nova Solar Solutions Enterprises,Enterprises,SMIPD1707B,27SMIPD1707B8ZS,UDYAM-MH-16-7076714,Nashik,Maharashtra
Rohan Singh,30-01-1983,+91 76285 69073,Pioneer Logistics Enterprises,Enterprises,OIOPS9668A,33OIOPS9668A6ZW,UDYAM-TN-04-6672681,Chennai,Tamil Nadu
Vikram Bose,11-12-2002,+91 63173 84130,Precision Techno Fab Pvt Ltd,Pvt Ltd,DAECP5857I,19DAECP5857I9Z3,UDYAM-WB-11-5139768,Durgapur,West Bengal
Neha Sharma,29-06-2002,+91 84270 32476,Apex Plastics LLP,LLP,VXGFA4203B,33VXGFA4203B5ZF,UDYAM-TN-17-7303950,Chennai,Tamil Nadu
Ananya Chatterjee,09-02-1970,+91 79460 03199,Surya Polymers Enterprises,Enterprises,JQCPC1829S,08JQCPC1829S8Z2,UDYAM-RJ-28-7025900,Udaipur,Rajasthan
Meera Kulkarni,28-03-1983,+91 65862 84226,ZenPack Techno Fab Enterprises,Enterprises,KGPPK8262X,29KGPPK8262X5Z8,UDYAM-KR-08-9346093,Mysuru,Karnataka
Rahul Sharma,04-01-1975,+91 65515 33562,Shri Ganesh Techno Fab Pvt Ltd,Pvt Ltd,JMYCS7032B,36JMYCS7032B9Z5,UDYAM-TS-26-9264675,Hyderabad,Telangana
Vikram Verma,24-06-1998,+91 72180 17531,EcoClean Logistics Pvt Ltd,Pvt Ltd,HUMCE3385R,33HUMCE3385R4ZK,UDYAM-TN-04-7109008,Coimbatore,Tamil Nadu
Pooja Sharma,07-09-1966,+91 98756 18589,ZenPack Metal Castings Enterprises,Enterprises,FFLPS7686S,36FFLPS7686S1ZS,UDYAM-TS-20-5909832,Nizamabad,Telangana
Aarav Chauhan,01-11-1969,+91 63108 53526,Vertex Agro Mills Pvt Ltd,Pvt Ltd,LGXCV3739E,23LGXCV3739E9Z6,UDYAM-MP-30-8370035,Indore,Madhya Pradesh
Tanvi Bose,11-03-1994,+91 72606 37367,Pioneer Gear Works Pvt Ltd,Pvt Ltd,GXNCP2622F,36GXNCP2622F7Z0,UDYAM-TS-05-9666037,Warangal,Telangana
Meera Bose,27-04-1970,+91 71611 53613,Precision Logistics Pvt Ltd,Pvt Ltd,AYJCP7925E,36AYJCP7925E7Z2,UDYAM-TS-35-2481269,Nizamabad,Telangana
Rohan Bose,25-02-2001,+91 72851 73617,Vanguard Plastics Enterprises,Enterprises,GBSPB8385W,24GBSPB8385W8ZR,UDYAM-GJ-26-6906281,Surat,Gujarat
Siddharth Patel,27-07-2000,+91 92736 25927,Trident Agro Mills Pvt Ltd,Pvt Ltd,BGKCT4968V,36BGKCT4968V6ZX,UDYAM-TS-28-4718077,Nizamabad,Telangana
Siddharth Joshi,07-10-1990,+91 76270 36585,Shri Ganesh Agro Mills Pvt Ltd,Pvt Ltd,KHRCS9710G,19KHRCS9710G8Z3,UDYAM-WB-25-2896446,Durgapur,West Bengal
Meera Gupta,24-04-1965,+91 78422 08983,Evergreen Bio Remedies LLP,LLP,RXIFE1599T,29RXIFE1599T3Z8,UDYAM-KR-05-9981478,Bengaluru,Karnataka
Ananya Iyer,15-08-1995,+91 66498 49970,Pioneer Logistics Pvt Ltd,Pvt Ltd,RRXCP3259K,32RRXCP3259K2Z2,UDYAM-KL-20-4328300,Kozhikode,Kerala
Vikram Reddy,03-09-2002,+91 83658 92979,Evergreen Bio Remedies Enterprises,Enterprises,EAGPR4404K,24EAGPR4404K2ZF,UDYAM-GJ-03-1802353,Vadodara,Gujarat
Rahul Reddy,04-10-1995,+91 91508 25481,Precision Solar Solutions Enterprises,Enterprises,PZCPR3763C,27PZCPR3763C2Z3,UDYAM-MH-29-3017740,Nashik,Maharashtra
Ananya Iyer,20-10-1977,+91 69280 32045,Lotus Agro Mills Enterprises,Enterprises,ARXPI4787F,24ARXPI4787F7ZJ,UDYAM-GJ-26-7999557,Surat,Gujarat
Pooja Patel,15-11-1991,+91 65159 62562,Trident Logistics Pvt Ltd,Pvt Ltd,GBGCT4939M,32GBGCT4939M5Z3,UDYAM-KL-08-9967167,Kozhikode,Kerala
Siddharth Kulkarni,20-01-2000,+91 83297 51098,ZenPack Logistics Pvt Ltd,Pvt Ltd,XEMCZ2674T,27XEMCZ2674T9Z4,UDYAM-MH-10-2893547,Mumbai,Maharashtra
Sneha Sharma,20-02-1967,+91 70688 50113,ZenPack Solar Solutions Enterprises,Enterprises,HVEPS4063J,19HVEPS4063J1ZQ,UDYAM-WB-33-6574242,Durgapur,West Bengal
Aarav Kulkarni,05-08-1966,+91 63631 52196,BlueCraft Polymers LLP,LLP,QILFB3415C,23QILFB3415C9ZR,UDYAM-MP-02-7854338,Jabalpur,Madhya Pradesh
Neha Reddy,08-08-1990,+91 80958 42547,BlueCraft Polymers Enterprises,Enterprises,TQHPR1084T,27TQHPR1084T7ZU,UDYAM-MH-29-2751818,Nagpur,Maharashtra
Aarav Mehta,22-05-1980,+91 67241 29344,Nova Metal Castings Enterprises,Enterprises,KCAPM8893B,32KCAPM8893B8ZD,UDYAM-KL-22-3305031,Ernakulam,Kerala
Rahul Patel,14-11-1990,+91 88444 46465,Trident Textiles LLP,LLP,ZBHFT4506P,27ZBHFT4506P3Z1,UDYAM-MH-13-7991241,Mumbai,Maharashtra
Rahul Iyer,12-11-1984,+91 66089 08193,Shri Ganesh Textiles LLP,LLP,ANAFS2823K,27ANAFS2823K3ZM,UDYAM-MH-19-7839056,Nagpur,Maharashtra
Arjun Chauhan,17-04-1965,+91 90674 46978,Vertex Gear Works LLP,LLP,HJNFV9024K,32HJNFV9024K9ZB,UDYAM-KL-26-3887277,Ernakulam,Kerala
Neha Kulkarni,15-08-1967,+91 77161 61398,Lotus Techno Fab Pvt Ltd,Pvt Ltd,NFGCL8650H,27NFGCL8650H3ZG,UDYAM-MH-28-6145982,Pune,Maharashtra
Pooja Kulkarni,07-11-1998,+91 71855 92342,EcoClean Logistics Enterprises,Enterprises,VQNPK8653M,19VQNPK8653M1Z1,UDYAM-WB-02-4458518,Siliguri,West Bengal
Pooja Nair,02-05-2000,+91 68011 07002,Pioneer Bio Remedies Pvt Ltd,Pvt Ltd,AMSCP7481S,36AMSCP7481S8ZI,UDYAM-TS-15-5081341,Nizamabad,Telangana
Gaurav Chatterjee,22-06-1978,+91 67807 52697,Vanguard Metal Castings Enterprises,Enterprises,HLWPC7902E,19HLWPC7902E6ZX,UDYAM-WB-11-1415845,Howrah,West Bengal
Nikhil Chatterjee,18-04-1970,+91 72649 28662,Pioneer Polymers Pvt Ltd,Pvt Ltd,GRXCP5439W,36GRXCP5439W4Z6,UDYAM-TS-26-7913921,Hyderabad,Telangana
Tanvi Gupta,29-03-1986,+91 67972 21568,Shri Ganesh Textiles Pvt Ltd,Pvt Ltd,ILUCS2912F,19ILUCS2912F5ZV,UDYAM-WB-27-7424199,Durgapur,West Bengal
Gaurav Verma,08-04-1978,+91 94485 71906,Apex Polymers Enterprises,Enterprises,ZABPV5425P,27ZABPV5425P7ZM,UDYAM-MH-18-9635984,Pune,Maharashtra
Rajesh Das,26-12-1985,+91 76858 57514,Pioneer Metal Castings Pvt Ltd,Pvt Ltd,EOGCP3192R,09EOGCP3192R3Z3,UDYAM-UP-03-2055219,Lucknow,Uttar Pradesh
Tanvi Sharma,25-08-1997,+91 60320 86140,Apex Gear Works Enterprises,Enterprises,UIHPS9477D,08UIHPS9477D5ZZ,UDYAM-RJ-29-3519697,Kota,Rajasthan
Meera Reddy,10-07-1986,+91 60169 73385,Trident Metal Castings Enterprises,Enterprises,XBLPR9932P,23XBLPR9932P6ZF,UDYAM-MP-04-3630892,Jabalpur,Madhya Pradesh
Priya Chatterjee,06-04-1965,+91 64765 55177,Precision Solar Solutions Pvt Ltd,Pvt Ltd,INTCP8701B,23INTCP8701B6ZA,UDYAM-MP-10-9642374,Bhopal,Madhya Pradesh
Aarav Kulkarni,09-06-1993,+91 80201 83618,Shri Ganesh Metal Castings Enterprises,Enterprises,WEKPK1624U,09WEKPK1624U1ZT,UDYAM-UP-32-2622538,Noida,Uttar Pradesh
Sneha Mehta,25-10-1972,+91 79860 59564,Apex Plastics Enterprises,Enterprises,CXLPM5240W,24CXLPM5240W7ZM,UDYAM-GJ-20-1547063,Surat,Gujarat
Nikhil Iyer,22-05-2000,+91 77042 33820,EcoClean Techno Fab LLP,LLP,LDQFE1884E,27LDQFE1884E2ZJ,UDYAM-MH-27-3819804,Pune,Maharashtra
Arjun Verma,15-05-1972,+91 72363 10736,Pioneer Plastics Pvt Ltd,Pvt Ltd,EJWCP2090U,36EJWCP2090U8ZI,UDYAM-TS-01-8578020,Hyderabad,Telangana
Arjun Gupta,22-03-1976,+91 67494 55640,Surya Bio Remedies Enterprises,Enterprises,FJLPG3766Q,36FJLPG3766Q3ZA,UDYAM-TS-11-7516790,Warangal,Telangana
Rajesh Kulkarni,14-09-1986,+91 86803 36640,ZenPack Logistics Enterprises,Enterprises,RJOPK5311P,27RJOPK5311P2ZC,UDYAM-MH-21-5696868,Nagpur,Maharashtra
Sneha Chatterjee,23-03-2000,+91 96562 53601,ZenPack Gear Works LLP,LLP,HYAFZ4986P,29HYAFZ4986P4Z2,UDYAM-KR-13-2428459,Mangaluru,Karnataka
Gaurav Patel,13-12-1987,+91 99657 96012,Pioneer Solar Solutions LLP,LLP,AAEFP8490F,29AAEFP8490F1Z3,UDYAM-KR-22-1807064,Mysuru,Karnataka
Priya Kulkarni,29-08-1978,+91 96128 13095,BlueCraft Polymers Enterprises,Enterprises,SJPPK6380S,27SJPPK6380S7Z2,UDYAM-MH-07-8107540,Pune,Maharashtra
Vikram Chatterjee,09-11-1999,+91 93069 91748,Vertex Bio Remedies Enterprises,Enterprises,QYWPC9504D,32QYWPC9504D2ZO,UDYAM-KL-20-4984881,Thiruvananthapuram,Kerala
Gaurav Singh,31-05-1984,+91 77952 23723,Nova Textiles LLP,LLP,LQFFN5366Z,32LQFFN5366Z9ZP,UDYAM-KL-11-8420516,Thiruvananthapuram,Kerala
Rohan Patel,31-12-1974,+91 65619 90940,Lotus Gear Works LLP,LLP,BIKFL4656C,19BIKFL4656C2ZU,UDYAM-WB-13-1958873,Kolkata,West Bengal
Gaurav Kulkarni,07-11-1973,+91 62259 91186,Lotus Gear Works Pvt Ltd,Pvt Ltd,ZERCL5701E,32ZERCL5701E8ZO,UDYAM-KL-17-9522365,Kozhikode,Kerala
Gaurav Chauhan,20-06-1989,+91 79369 10337,EcoClean Techno Fab LLP,LLP,DJQFE6352B,32DJQFE6352B8ZK,UDYAM-KL-01-5061263,Kozhikode,Kerala
Aarav Nair,22-04-1971,+91 93115 38834,Evergreen Solar Solutions LLP,LLP,LSCFE3830R,29LSCFE3830R1ZX,UDYAM-KR-32-8933854,Bengaluru,Karnataka
Priya Iyer,09-11-1996,+91 98912 27755,Matrix Solar Solutions Pvt Ltd,Pvt Ltd,CLBCM7598E,23CLBCM7598E8ZX,UDYAM-MP-27-4928211,Bhopal,Madhya Pradesh
Meera Das,25-03-1974,+91 80950 08727,Precision Agro Mills Pvt Ltd,Pvt Ltd,JQXCP9057F,33JQXCP9057F3ZT,UDYAM-TN-29-9750089,Coimbatore,Tamil Nadu
Siddharth Chatterjee,24-06-1983,+91 79445 80029,Pioneer Agro Mills LLP,LLP,YYNFP3326O,33YYNFP3326O6ZW,UDYAM-TN-33-2155293,Salem,Tamil Nadu
Tanvi Mehta,29-05-2000,+91 90791 00915,Nova Techno Fab LLP,LLP,EJDFN9193W,32EJDFN9193W6ZQ,UDYAM-KL-20-6096519,Kozhikode,Kerala
Rahul Das,24-07-1973,+91 79510 71901,Apex Gear Works Pvt Ltd,Pvt Ltd,ZFRCA4064X,33ZFRCA4064X4Z6,UDYAM-TN-16-7911522,Coimbatore,Tamil Nadu
Pooja Nair,21-09-1987,+91 85582 64776,Precision Techno Fab Enterprises,Enterprises,GMSPN5431G,36GMSPN5431G7Z3,UDYAM-TS-35-3339577,Nizamabad,Telangana
Rahul Patel,17-03-1970,+91 76022 32412,Precision Bio Remedies LLP,LLP,ZZQFP9838V,24ZZQFP9838V6ZK,UDYAM-GJ-21-7429354,Vadodara,Gujarat
Nikhil Gupta,17-03-1984,+91 72517 53961,Lotus Agro Mills Pvt Ltd,Pvt Ltd,RRPCL3374T,32RRPCL3374T6ZU,UDYAM-KL-07-2158299,Thiruvananthapuram,Kerala
Nikhil Chatterjee,09-07-1974,+91 69458 33027,Vanguard Gear Works LLP,LLP,LSJFV3016O,29LSJFV3016O5Z1,UDYAM-KR-09-1976221,Hubballi,Karnataka
Pooja Bose,20-09-1984,+91 60923 79524,Vertex Infotech Pvt Ltd,Pvt Ltd,JGJCV6941P,19JGJCV6941P7ZQ,UDYAM-WB-14-9440208,Durgapur,West Bengal
Rahul Singh,10-06-1997,+91 69129 94581,Lotus Agro Mills Enterprises,Enterprises,EIVPS9665M,36EIVPS9665M5ZV,UDYAM-TS-14-5905867,Warangal,Telangana
Rahul Mehta,28-08-1991,+91 85487 90694,ZenPack Agro Mills Pvt Ltd,Pvt Ltd,DZKCZ4167A,23DZKCZ4167A6ZJ,UDYAM-MP-11-8562311,Bhopal,Madhya Pradesh
Rahul Nair,29-07-1997,+91 78507 68031,Evergreen Gear Works LLP,LLP,EVAFE2162H,29EVAFE2162H6ZN,UDYAM-KR-05-6599358,Mysuru,Karnataka
Aarav Patel,30-12-1993,+91 83599 39517,Lotus Bio Remedies LLP,LLP,LXSFL8085N,27LXSFL8085N3ZV,UDYAM-MH-30-9353289,Pune,Maharashtra
Gaurav Patel,04-07-1997,+91 96207 03802,Surya Agro Mills LLP,LLP,RLPFS1198M,09RLPFS1198M1ZL,UDYAM-UP-03-3184560,Lucknow,Uttar Pradesh
Rahul Mehta,25-08-1967,+91 77244 51067,Lotus Polymers Pvt Ltd,Pvt Ltd,FICCL8218X,32FICCL8218X7Z7,UDYAM-KL-18-7070528,Thiruvananthapuram,Kerala
Tanvi Joshi,16-05-1984,+91 64640 01632,Surya Gear Works Enterprises,Enterprises,NYSPJ1824R,09NYSPJ1824R8ZB,UDYAM-UP-16-5570098,Lucknow,Uttar Pradesh
Arjun Das,20-05-1998,+91 84790 29140,Shri Ganesh Bio Remedies LLP,LLP,GIYFS4845C,09GIYFS4845C4Z8,UDYAM-UP-27-2931854,Varanasi,Uttar Pradesh
Neha Reddy,03-04-2001,+91 79613 91535,Lotus Solar Solutions LLP,LLP,REBFL9470H,29REBFL9470H4Z6,UDYAM-KR-17-6453270,Hubballi,Karnataka
Meera Das,02-11-1986,+91 84707 02604,Matrix Agro Mills Enterprises,Enterprises,PGUPD6850N,33PGUPD6850N9ZZ,UDYAM-TN-24-3186789,Chennai,Tamil Nadu
Rahul Reddy,20-01-1971,+91 65077 85111,Lotus Textiles Pvt Ltd,Pvt Ltd,UAQCL5043U,19UAQCL5043U6ZE,UDYAM-WB-25-9168795,Kolkata,West Bengal
Rohan Chatterjee,27-03-1995,+91 69235 98872,ZenPack Techno Fab Enterprises,Enterprises,VIFPC4788M,24VIFPC4788M1ZK,UDYAM-GJ-04-7892248,Surat,Gujarat
Gaurav Mehta,21-12-1993,+91 90056 85340,Evergreen Infotech Enterprises,Enterprises,XZKPM4541R,33XZKPM4541R1ZK,UDYAM-TN-10-6679534,Salem,Tamil Nadu
Gaurav Chatterjee,03-10-1998,+91 87908 25235,Nova Metal Castings Pvt Ltd,Pvt Ltd,KUZCN8480S,27KUZCN8480S2ZG,UDYAM-MH-15-2443046,Mumbai,Maharashtra
Priya Iyer,29-05-1971,+91 77008 21119,Vertex Techno Fab Pvt Ltd,Pvt Ltd,KNYCV1139P,36KNYCV1139P6Z0,UDYAM-TS-30-8767733,Hyderabad,Telangana
Arjun Iyer,02-06-1995,+91 62517 52144,ZenPack Bio Remedies Pvt Ltd,Pvt Ltd,FVECZ9366P,19FVECZ9366P9ZY,UDYAM-WB-34-7042302,Kolkata,West Bengal
Pooja Das,30-07-1979,+91 70466 72764,Lotus Solar Solutions Pvt Ltd,Pvt Ltd,PCNCL2326G,09PCNCL2326G4ZU,UDYAM-UP-09-9030466,Noida,Uttar Pradesh
Vikram Nair,19-07-1986,+91 65600 85696,BlueCraft Agro Mills Enterprises,Enterprises,PWTPN1543K,32PWTPN1543K4ZG,UDYAM-KL-23-6618226,Ernakulam,Kerala
Pooja Gupta,28-10-1979,+91 74989 90902,Matrix Infotech Pvt Ltd,Pvt Ltd,VCFCM9994W,27VCFCM9994W8ZR,UDYAM-MH-08-2551271,Nagpur,Maharashtra
Siddharth Das,30-07-1998,+91 65995 50891,Apex Gear Works LLP,LLP,XFRFA2377X,32XFRFA2377X3ZS,UDYAM-KL-14-5723312,Kozhikode,Kerala
